Name	HW	AW	PW	HA	AA	DA
CM Old	85.0	58.0	0.594405594406	27.09	29.6	-2.51
WJ O'Reilly	59.0	85.0	0.409722222222	24.62	21.18	3.44
TA Boult	67.0	93.0	0.41875	26.92	31.21	-4.29
CEH Croft	66.0	59.0	0.528	19.71	27.32	-7.61
IT Botham	226.0	157.0	0.590078328982	27.54	29.63	-2.09
PR Adams	57.0	77.0	0.425373134328	33.52	32.38	1.14
RR Lindwall	112.0	116.0	0.491228070175	22.07	23.95	-1.88
CJ McDermott	193.0	98.0	0.66323024055	26.47	32.88	-6.41
GD McGrath	289.0	260.0	0.526411657559	22.43	21.35	1.08
CEL Ambrose	203.0	202.0	0.501234567901	21.19	20.78	0.41
FS Trueman	229.0	78.0	0.745928338762	20.04	26.08	-6.04
WA Johnston	101.0	59.0	0.63125	22.49	26.33	-3.84
N Kapil Dev	219.0	215.0	0.504608294931	26.49	32.85	-6.36
CRD Fernando	50.0	50.0	0.5	30.28	45.4	-15.12
H Verity	80.0	64.0	0.555555555556	22.26	27.01	-4.75
GAR Lock	104.0	70.0	0.597701149425	19.51	34.58	-15.07
AW Greig	59.0	82.0	0.418439716312	37.91	28.09	9.82
JA Snow	140.0	62.0	0.693069306931	29.21	20.91	8.3
BS Chandrasekhar	142.0	100.0	0.586776859504	27.69	32.66	-4.97
MHN Walker	58.0	80.0	0.420289855072	29.1	26.3	2.8
MG Hughes	126.0	86.0	0.594339622642	26.84	30.63	-3.79
SK Warne	319.0	362.0	0.468428781204	26.39	25.5	0.89
SJ Harmison	133.0	93.0	0.588495575221	28.47	36.61	-8.14
HH Streak	120.0	96.0	0.555555555556	25.99	30.83	-4.84
W Rhodes	67.0	60.0	0.527559055118	21.17	33.43	-12.26
Umar Gul	52.0	74.0	0.412698412698	27.17	40.89	-13.72
JC Laker	135.0	58.0	0.699481865285	18.08	28.6	-10.52
J Srinath	108.0	128.0	0.457627118644	26.61	33.76	-7.15
HJ Tayfield	92.0	78.0	0.541176470588	25.84	25.98	-0.14
JM Anderson	296.0	145.0	0.671201814059	25.63	34.86	-9.23
SCG MacGill	135.0	73.0	0.649038461538	27.68	31.5	-3.82
HMRKB Herath	231.0	77.0	0.75	23.14	43.07	-19.93
M Dillon	63.0	58.0	0.520661157025	32.66	35.06	-2.4
ARC Fraser	90.0	87.0	0.508474576271	29.15	25.42	3.73
MW Tate	84.0	71.0	0.541935483871	24.86	27.69	-2.83
IR Bishop	71.0	90.0	0.44099378882	24.56	24.05	0.51
Iqbal Qasim	111.0	60.0	0.649122807018	25.15	33.58	-8.43
NM Lyon	101.0	107.0	0.485576923077	31.97	30.56	1.41
DL Underwood	145.0	152.0	0.488215488215	24.24	27.36	-3.12
AA Mallett	63.0	69.0	0.477272727273	32.8	27.14	5.66
M Ntini	249.0	141.0	0.638461538462	24.04	37.27	-13.23
JH Kallis	165.0	126.0	0.567010309278	30.61	34.24	-3.63
A Flintoff	109.0	117.0	0.482300884956	36.11	29.69	6.42
MJ Hoggard	122.0	126.0	0.491935483871	30.73	30.26	0.47
SCJ Broad	232.0	106.0	0.686390532544	26.54	34.04	-7.5
AA Donald	177.0	153.0	0.536363636364	21.64	22.96	-1.32
Danish Kaneria	109.0	139.0	0.439516129032	32.75	35.05	-2.3
Imran Khan	163.0	199.0	0.450276243094	19.2	25.76	-6.56
Saqlain Mushtaq	77.0	106.0	0.420765027322	29.22	30.11	-0.89
DE Malcolm	68.0	60.0	0.53125	34.55	39.96	-5.41
Z Khan	104.0	207.0	0.334405144695	35.87	31.47	4.4
BS Bedi	137.0	129.0	0.515037593985	23.99	33.72	-9.73
S Venkataraghavan	94.0	62.0	0.602564102564	30.64	44.4	-13.76
A Kumble	350.0	269.0	0.565428109855	24.88	35.85	-10.97
MA Holding	86.0	163.0	0.345381526104	23.75	23.65	0.1
M Morkel	118.0	116.0	0.504273504274	28.83	29.01	-0.18
Shoaib Akhtar	83.0	74.0	0.528662420382	26.48	27.32	-0.84
MG Johnson	171.0	133.0	0.5625	25.47	31.12	-5.65
FH Edwards	79.0	86.0	0.478787878788	30.63	44.52	-13.89
M Muralitharan	493.0	307.0	0.61625	19.56	27.79	-8.23
TL Goddard	63.0	60.0	0.512195121951	27.33	25.06	2.27
JN Gillespie	110.0	146.0	0.4296875	24.68	26.97	-2.29
IWG Johnson	57.0	52.0	0.522935779817	25.71	33.0	-7.29
B Lee	186.0	119.0	0.609836065574	28.72	33.42	-4.7
Sarfraz Nawaz	81.0	96.0	0.457627118644	33.17	32.4	0.77
EJ Chatfield	66.0	57.0	0.536585365854	30.74	33.84	-3.1
R Ashwin	153.0	67.0	0.695454545455	20.37	33.23	-12.86
AK Davidson	84.0	102.0	0.451612903226	21.04	20.1	0.94
GD McKenzie	109.0	137.0	0.443089430894	30.6	29.13	1.47
TE Bailey	62.0	70.0	0.469696969697	35.93	23.25	12.68
MD Marshall	157.0	219.0	0.417553191489	20.06	21.57	-1.51
FJ Titmus	54.0	99.0	0.352941176471	29.72	33.59	-3.87
DL Vettori	159.0	201.0	0.441666666667	37.11	32.29	4.82
Abdul Qadir	168.0	68.0	0.71186440678	26.82	47.58	-20.76
CV Grimmett	105.0	111.0	0.486111111111	24.59	23.86	0.73
WPUJC Vaas	180.0	175.0	0.507042253521	26.32	32.34	-6.02
SF Barnes	63.0	126.0	0.333333333333	13.38	17.96	-4.58
SL Malinga	51.0	50.0	0.50495049505	32.98	33.34	-0.36
I Sharma	63.0	146.0	0.301435406699	34.76	37.56	-2.8
MS Panesar	81.0	72.0	0.529411764706	28.76	43.95	-15.19
LR Gibbs	126.0	183.0	0.407766990291	29.65	28.69	0.96
Waqar Younis	162.0	197.0	0.451253481894	20.29	25.96	-5.67
CS Martin	146.0	87.0	0.62660944206	30.99	38.54	-7.55
Mushtaq Ahmed	67.0	118.0	0.362162162162	34.73	31.97	2.76
Intikhab Alam	71.0	54.0	0.568	30.98	42.48	-11.5
TM Alderman	68.0	102.0	0.4	29.41	25.64	3.77
Wasim Akram	154.0	255.0	0.376528117359	22.22	24.61	-2.39
JR Thomson	129.0	71.0	0.645	24.98	33.49	-8.51
